run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
86,128,14,0.023116600001230836,0.001651185714373631,44.500770383821006,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,23,76,20,135,False
87,129,17,0.019906300003640354,0.0011709588237435503,44.500770383821006,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,23,76,20,135,False
88,130,18,0.022232700022868812,0.0012351500012704895,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,25,35,False
89,131,44,0.05383989994879812,0.0012236340897454118,44.327157039509714,4,"0,1,2,3",192,62,1.2559055118110236,0.2440944881889764,0.5354330708661418,21,136,136,75,21,22,False
90,132,47,0.043881700024940073,0.0009336531920200016,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,13,25,181,False
91,133,19,0.021025999914854765,0.0011066315744660403,43.96565657571047,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,13,169,25,47,False
92,134,46,0.04786629998125136,0.0010405717387228556,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,181,25,35,13,False
93,135,37,0.03370229993015528,0.0009108729710852778,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,35,181,25,False
94,136,20,0.021270700031891465,0.0010635350015945732,44.557491266349814,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.5433070866141733,21,138,22,21,73,138,False
95,137,15,0.014192600036039948,0.0009461733357359965,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,35,25,181,13,False
96,138,20,0.018679600092582405,0.0009339800046291203,45.67077089976456,4,"0,1,2,3",207,47,1.18503937007874,0.18503937007874016,0.7086614173228346,5,180,19,180,50,5,False
97,139,20,0.02179739996790886,0.001089869998395443,44.33521572668495,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,135,21,23,75,False
98,140,15,0.015266999951563776,0.0010177999967709184,44.4856901734117,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,13,25,43,173,False
99,141,15,0.01761930005159229,0.001174620003439486,44.36377058734185,4,"0,1,2,3",193,61,1.2519685039370079,0.24015748031496062,0.531496062992126,21,135,21,23,75,135,False
100,142,22,0.023555600084364414,0.001070709094743837,43.96565657571053,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,13,169,47,25,False
TOTAL_RUNTIME,,,3.0945347000379115,,,,,,,,,,,,,,,,
