run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
55,97,100,16,116,1.5910453000105917,0.013715907758711997,53.4314434747212,52.67248607509356,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,21,103,130
56,98,100,22,122,1.8496681998949498,0.015161214753237293,41.518655303267,49.26559993717652,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,51,178,25
57,99,100,85,185,1.7886752999620512,0.009668515134930007,44.45232945336127,37.060327937107616,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,109,30
58,100,100,31,131,1.87752930005081,0.01433228473321229,37.51378066205482,52.67248607508439,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,103,21
59,101,100,119,219,1.9627352999523282,0.008962261643617938,45.41336762880033,37.38064774212896,3,"0,1,2",27,227,0.8937007874015748,34,116,0.4566929133858268,False,104,116,34
60,102,100,96,196,2.299234699923545,0.01173078928532421,31.885900572690925,37.67962256476801,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,101,38,115
61,103,100,25,125,1.8883699000580236,0.015106959200464188,38.585468863152464,52.60127491069564,3,"0,1,2",190,64,0.25196850393700787,23,146,0.5748031496062992,False,146,85,23
62,104,100,69,169,1.867494099889882,0.011050260946093975,40.65083134562869,37.26547706193545,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,106,32,116
63,105,100,12,112,1.5813095000339672,0.01411883482173185,50.735093449926055,49.265599937175686,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,51,178
64,106,100,111,211,1.8529178999597207,0.00878160142161005,45.26031867595288,37.26547706195656,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,32,106,116
65,107,100,67,167,1.9236787999980152,0.011519034730527037,40.87982471493169,37.6796225647478,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,101,38
66,108,100,21,121,1.5165821999544278,0.012533737189706014,55.658131874232495,55.110605338263234,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,56,14,184
67,109,100,26,126,1.6284413000103086,0.012924137301669116,49.31545715767251,52.586650730019144,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,191,38,25
68,110,100,25,125,1.759910300024785,0.014079282400198281,43.8829506792075,52.58665073001915,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,25,191,38
69,111,100,19,119,1.6320343000115827,0.013714573949677166,59.91538798645302,59.02931809552113,3,"0,1,2",222,32,0.12598425196850394,2,178,0.7007874015748031,False,178,2,74
70,112,100,29,129,1.7805600001011044,0.013802790698458174,39.882100456150944,52.42686747297584,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,133,21,100
71,113,100,21,121,1.6663063000887632,0.013771126447014573,52.37963839195622,53.421367266116405,3,"0,1,2",217,37,0.14566929133858267,6,191,0.7519685039370079,False,191,57,6
72,114,100,15,115,1.666147100040689,0.014488235652527732,45.54328887594619,52.67248607509383,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,21,103,130
73,115,100,67,167,1.846250099944882,0.011055389820029234,40.561567855838895,37.67962256473206,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,101,115,38
74,116,100,26,126,1.617916600080207,0.0128406079371445,53.246327942432174,52.42686747297584,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,133,21,100
75,117,100,15,115,1.6704348000930622,0.014525520000809236,49.61829264217995,52.58665073001915,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,25,38,191
76,118,100,29,129,1.611350900027901,0.012491092248278301,49.90902275776061,52.42686747297584,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,21,133,100
77,119,100,117,217,1.9482779999962077,0.00897823963131893,44.9155480680152,37.26547706195335,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,116,32,106
78,120,100,19,119,1.857135400059633,0.01560617983243389,47.78000260129903,55.12247633304528,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,14,62
79,121,100,18,118,1.9451006000163034,0.016483903389968673,41.14605934946637,52.58665073001839,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,25,38,191
80,122,100,21,121,1.6611654000589624,0.01372863966990878,52.052012032760715,55.12247633304527,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
81,123,100,16,116,1.5494574999902397,0.01335739224129517,54.34754850062022,55.12247633304527,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
82,124,100,18,118,1.6392832000274211,0.013892230508706959,50.110302770359226,52.586650730019144,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,25,191,38
83,125,100,18,118,2.0165882000001147,0.017089730508475547,40.79043792560249,49.26559993717569,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,51,178
84,126,100,99,199,1.8058535000309348,0.00907464070367304,43.94130224685731,37.26547706197956,3,"0,1,2",26,228,0.8976377952755905,32,116,0.4566929133858268,False,116,106,32
85,127,100,57,157,1.7368593999417499,0.01106279872574363,43.93050460188459,37.06032793717457,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,109,30
86,128,100,17,117,1.574127999949269,0.013454085469651872,51.183044058228674,52.67248607509403,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,103,130,21
87,129,100,13,113,1.8023590000811964,0.01595007964673625,42.08104267188586,52.58665073001943,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,191,25,38
88,130,100,19,119,1.7009556000120938,0.014293744537916755,40.72659435482835,54.239862902120024,3,"0,1,2",221,33,0.12992125984251968,6,187,0.7362204724409449,False,187,61,6
89,131,100,20,120,1.73136719991453,0.01442805999928775,48.63411531459296,52.672486075085835,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,103,21
90,132,100,27,127,1.6772794000571594,0.013206924409898893,45.34415508315921,49.26559993717651,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,178,51
91,133,100,31,131,1.7416650000959635,0.013295152672488271,48.67614621654232,52.6724860750844,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,21,103
92,134,100,16,116,1.5307852000696585,0.013196424138531539,55.75632665230464,55.11060533826324,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,14,56,184
93,135,100,25,125,1.8219678000314161,0.01457574240025133,43.136446922998715,52.586650730019144,3,"0,1,2",225,29,0.1141732283464567,25,191,0.7519685039370079,False,191,38,25
94,136,100,12,112,1.5587879999075085,0.013917749999174183,54.06740247115826,49.26559993717615,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,25,178,51
95,137,100,19,119,1.4954749000025913,0.012567015966408331,57.7172090240872,55.110605338263234,3,"0,1,2",221,33,0.12992125984251968,14,184,0.7244094488188977,False,56,14,184
96,138,100,23,123,1.4420225999783725,0.011723760975433923,69.10707130381346,61.82428108615061,3,"0,1,2",221,33,0.12992125984251968,5,213,0.8385826771653543,True,5,213,36
97,139,100,81,181,1.928320600069128,0.010653704972757614,45.94078566892891,37.67962256477203,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,101,38,115
98,140,100,17,117,1.571351999999024,0.013430358974350633,54.465741289618435,55.08700095678489,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
99,141,100,15,115,1.6530378999887034,0.014374242608597421,49.95188451390874,49.26559993717578,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,51,25,178
100,142,100,24,124,1.6159177999943495,0.013031595161244754,55.97826447843832,55.12247633304527,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,178,62,14
TOTAL_RUNTIME,,,,,173.22273289994337,,,,,,,,,,,,,,,
